Codeforces Handle: 21r01a7201, Codeforces URL: https://codeforces.com/profile/CMRIT25_21R01A7201, Codeforces URL Exists: False
GeeksForGeeks Handle: CMRIT25_21R01A7201, GeeksForGeeks URL: https://auth.geeksforgeeks.org/?to=https://auth.geeksforgeeks.org/profile.php, GeeksForGeeks URL Exists: False
LeetCode Handle: 21R01A7201, LeetCode URL: https://leetcode.com/21R01A7201/, LeetCode URL Exists: False
CodeChef Handle: aharshitha_31, CodeChef URL: https://www.codechef.com/users/aharshitha_31, CodeChef URL Exists: True
HackerRank Handle: 21r01a7201, HackerRank URL: https://www.hackerrank.com/profile/21r01a7201, HackerRank URL Exists: True
Codeforces Handle: 21r01a7203, Codeforces URL: https://codeforces.com/profile/21r01a7203, Codeforces URL Exists: True
GeeksForGeeks Handle: 21R01A7203, GeeksForGeeks URL: https://auth.geeksforgeeks.org/user/21R01A7203, GeeksForGeeks URL Exists: True
LeetCode Handle: 21R01A7203, LeetCode URL: https://leetcode.com/21R01A7203/, LeetCode URL Exists: False
CodeChef Handle: cmr21r01a7203, CodeChef URL: https://www.codechef.com/users/cmr21r01a7203, CodeChef URL Exists: True
HackerRank Handle: 21r01a7203, HackerRank URL: https://www.hackerrank.com/profile/21r01a7203, HackerRank URL Exists: True
Codeforces Handle: 21r01a7206, Codeforces URL: https://codeforces.com/profile/21r01a7206, Codeforces URL Exists: True
GeeksForGeeks Handle: 21r01a7206, GeeksForGeeks URL: https://auth.geeksforgeeks.org/?to=https://auth.geeksforgeeks.org/profile.php, GeeksForGeeks URL Exists: False
LeetCode Handle: 21R01A7206, LeetCode URL: https://leetcode.com/21R01A7206/, LeetCode URL Exists: False
CodeChef Handle: p21r01a7206, CodeChef URL: https://www.codechef.com/users/p21r01a7206, CodeChef URL Exists: True
HackerRank Handle: 21r01a7206, HackerRank URL: https://www.hackerrank.com/profile/21r01a7206, HackerRank URL Exists: True
Codeforces Handle: 21r01a7207, Codeforces URL: https://codeforces.com/profile/CMRIT25_21R01A7207, Codeforces URL Exists: False
GeeksForGeeks Handle: CMRIT25_21R01A7207, GeeksForGeeks URL: https://auth.geeksforgeeks.org/?to=https://auth.geeksforgeeks.org/profile.php, GeeksForGeeks URL Exists: False
LeetCode Handle: 21r01a7207, LeetCode URL: https://leetcode.com/21r01a7207/, LeetCode URL Exists: False
