Handle,Codeforces Handle,GeeksForGeeks Handle,LeetCode Handle,CodeChef Handle,HackerRank Handle,Codeforces URL Exists,GeeksForGeeks URL Exists,LeetCode URL Exists,CodeChef URL Exists,HackerRank URL Exists
21R01A7201,21r01a7201,CMRIT25_21R01A7201,21R01A7201,aharshitha_31,21r01a7201,True,True,True,True,True
21R01A7203,21r01a7203,21R01A7203,21R01A7203,cmr21r01a7203,21r01a7203,True,True,True,True,True
21R01A7206,21r01a7206,21r01a7206,21R01A7206,p21r01a7206,21r01a7206,True,True,True,True,True
21R01A7207,21r01a7207,CMRIT25_21R01A7207,21r01a7207,a2101a7207,21r01a7207,True,True,True,True,True
21R01A7209,21r01a7209,21r01a7209,sindhu_21r01a7209,sindhuja_9849,21r01a7209,True,True,True,True,True
21R01A7210,pavan_10,CMRIT25_21R01A7210,Pavan_7210,sololeveler_10,21r01a7210_Pavan,True,True,True,True,True
21R01A7214,21r01a7214,CMRIT25_21R01A7214,21r01a7214,bachuharshini,21r01a7214,True,True,True,True,True
21R01A7220,21r01a7220,CMRIT25_21R01A7220,cmr_21r01a7220,cmr_21r01a7220,21R01A7220,True,True,True,True,True
21R01A7222,21r01a7222,CMRIT25_21R01A7222,mounikad25,dmounika_22,21r01a7222,True,True,True,True,True
21R01A7223,21r01aewni,CMRIT25_21R01A7223,21r01a7223,charishna,21r01a7223,True,True,True,True,True
21R01A7224,21r01arg58,CMRIT25_21R01A7224,21r01a7224,nikitha7224,21r01a7224,True,True,True,True,True
21R01A7225,anonymou99wv,21r01a7225,anilgoud,anil66,21r01a7225,True,True,True,True,True
21R01A7227,#N/A,#N/A,#N/A,cmr_21r01a7227,PrashanthKumar,False,True,True,True,True
21R01A7228,21r01anlru,21r01a7228,user0895hF,yashaswini84,21R01A7228,True,True,True,True,True
21R01A7229,#N/A,#N/A,#N/A,#N/A,#N/A,False,True,True,False,False
21R01A7231,21R01A7231,CMRIT25_21R01A7231,21R01A7231,Sneha_7231,21R01A7231,True,True,True,True,True
21R01A7233,siddu99,CMRIT25_21R01A7233,21r01a7233,siddu99,21r01a7233,True,True,True,True,True
21R01A7235,sneha_kavali,21r01a7235,21r01a7235,sneha_kavali,21r01a7235,True,True,True,True,True
21R01A7238,kjcreddy666,CMRIT25_21R01A7238,kjcreddy666,jai_21r01a7238,21r01a7238,True,True,True,True,True
21R01A7239,21r01a7239,CMRIT25_21R01A7239,siri_7239,siri_sanjana,21r01a7239,True,True,True,True,True
21R01A7240,21r01aox04,CMRIT_21R01A7240,21r01a7240,saikiran_95,21r01a7240,True,True,True,True,True
21R01A7241,21r01a7241,CMRIT25_21R01A7241,21r01a7241,r01a7241,21r01a7241,True,True,True,True,True
21R01A7242,#N/A,#N/A,#N/A,#N/A,#N/A,False,True,True,False,False
21R01A7244,#N/A,CMRIT-21r01a7244,#N/A,priyanka_12_03,21r01a7244@cmritonline.ac.in,False,True,True,True,True
21R01A7245,nithisha7245,CMRIT25_21R01A7245,nithisha45,nithisha_45,21r01a7245,True,True,True,True,True
21R01A7246,21r01a7246,mekalasridhar,MekalaSridhar,sridhar46,21r01a7246,True,True,False,True,True
21R01A7247,shadulmohaljnv,CMRIT25_21R01A7247,mohammad_shadulla,mohammadshadul,21r01a7247,True,True,True,True,True
21R01A7248,21r01a7248,CMRIT25_21R01A7248,21r01a7248,cmr21r01a7248,21r01a7248,True,True,True,True,True
21R01A7250,21r01a7250,cmrit25_21r01a7250,21r01a7250,adarsha_630,21r01a7250,True,True,True,True,True
21R01A7251,parvathamr94gs,CMRIT25_21R01A7251,21R01A7251,ramcharan01,21R01A7251,True,True,True,True,True
21R01A7252,21r01a7252,21R01A7252_divija,21r01a7252,divijapittala,21r01a7252,True,True,True,True,True
21R01A7253,Gouthami,CMRIT25_21R01A7253,21R01A7253,gouthami,21r01a7253,True,True,True,True,True
21R01A7255,21r01a7255,21r01a7255@cmritonline.ac.in,21r01a7255,sai_21r01a7255,21r01a7255@cmritonline.ac.in,True,True,True,True,True
21R01A7257,21r01ax608,Vaishnavi_017,vaishnavisingireddy,vaishnavisingi,vaishnavisingir1,True,True,True,True,True
21R01A7258,somajhansi6504,CMRIT25_21R01A7258,somajhansi7258,anonymous44,21r01a7258,True,True,True,True,True
21R01A7259,arjun1515,CMRIT25_21R01A7259,21r01a7259,arjun1515,21r01a7259,True,True,True,True,True
21R01A7262,21r01a7262,CMRIT25_21R01A7262,21R01A7262,sai_vivek04,21r01a7262,True,True,True,True,True
21R01A7263,#N/A,gaurav_saiteja,gaurav_saiteja,gaurav_saiteja,gaurav_saiteja,False,True,True,True,True
21R01A7264,21r01a7264,#N/A,#N/A,rahul_1508,21r01a7264,True,True,True,True,True
22R05A7202,22r05a7202@cmritonline.ac.in,CMRIT25-22r05a7202,kanakalaxmi,22r05a7202@cmritonline.ac.in,22r05a7202,True,True,True,True,True
22R05A7206,22r05ak3up,CMRIT25_22R05A7206,22r05a7206,r05a7206,22r05a7206,True,True,True,True,True
21R01A0501,#N/A,#N/A,#N/A,#N/A,21r01a0501,False,True,True,False,True
